,Date,Close,name
793,2018-02-27,16.346001,stribro
794,2018-02-28,16.323999,stribro
795,2018-03-01,16.200001,stribro
796,2018-03-02,16.392,stribro
797,2018-03-05,16.337999,stribro
798,2018-03-06,16.715,stribro
799,2018-03-07,16.427999,stribro
800,2018-03-08,16.436001,stribro
801,2018-03-09,16.546,stribro
802,2018-03-12,16.471001,stribro
803,2018-03-13,16.559,stribro
804,2018-03-14,16.466998999999998,stribro
805,2018-03-15,16.353001000000003,stribro
806,2018-03-16,16.202,stribro
807,2018-03-19,16.254998999999998,stribro
808,2018-03-20,16.125,stribro
809,2018-03-21,16.357,stribro
810,2018-03-22,16.327999,stribro
811,2018-03-23,16.530001000000002,stribro
812,2018-03-26,16.632,stribro
813,2018-03-27,16.489,stribro
814,2018-03-28,16.205,stribro
815,2018-03-29,16.223,stribro
816,2018-04-02,16.627001,stribro
817,2018-04-03,16.347,stribro
818,2018-04-04,16.209,stribro
819,2018-04-05,16.32,stribro
820,2018-04-06,16.332001,stribro
821,2018-04-09,16.499001,stribro
822,2018-04-10,16.566,stribro
823,2018-04-11,16.738001,stribro
824,2018-04-12,16.443001000000002,stribro
825,2018-04-13,16.628,stribro
826,2018-04-16,16.662001,stribro
827,2018-04-17,16.771998999999997,stribro
828,2018-04-18,17.231001000000003,stribro
829,2018-04-19,17.222,stribro
830,2018-04-20,17.146998999999997,stribro
